PID TTY          TIME CMD
    282 ?        00:00:00 irq/63-vmwgfx
    283 ?        00:00:00 irq/64-vmwgfx
    284 ?        00:00:00 irq/65-vmwgfx
    285 ?        00:00:00 irq/66-vmwgfx
    286 ?        00:00:00 irq/67-vmwgfx
    287 ?        00:00:00 irq/68-vmwgfx
    293 ?        00:00:00 kworker/0:2H-kblockd
    330 ?        00:00:00 jbd2/nvme0n1p2-8
    331 ?        00:00:00 ext4-rsv-conver
    375 ?        00:00:00 systemd-journal
    402 ?        00:00:00 vmware-vmblock-
    403 ?        00:00:00 systemd-udevd
    560 ?        00:00:00 jbd2/nvme0n1p4-8
    561 ?        00:00:00 ext4-rsv-conver
    583 ?        00:00:00 systemd-timesyn
    597 ?        00:00:01 avahi-daemon
    599 ?        00:00:00 cron
    601 ?        00:00:00 dbus-daemon
    604 ?        00:00:00 polkitd
    605 ?        00:00:00 systemd-logind
    606 ?        00:00:00 udisksd
    607 ?        00:00:00 VGAuthService
    610 ?        00:01:36 vmtoolsd
    719 ?        00:00:00 avahi-daemon
    780 ?        00:00:02 NetworkManager
    781 ?        00:00:00 wpa_supplicant
    785 ?        00:00:00 ModemManager
    884 ?        00:00:00 lightdm
    909 tty7     00:03:00 Xorg
    911 tty1     00:00:00 agetty
   1005 ?        00:00:01 rtkit-daemon
   1058 ?        00:00:00 lightdm
   1063 ?        00:00:00 systemd
   1064 ?        00:00:00 (sd-pam)
   1079 ?        00:00:00 pulseaudio
   1081 ?        00:00:00 gnome-keyring-d
   1087 ?        00:00:23 dbus-daemon
   1089 ?        00:00:02 xfce4-session
   1137 ?        00:00:00 ssh-agent
   1147 ?        00:00:00 at-spi-bus-laun
   1153 ?        00:00:00 dbus-daemon
   1162 ?        00:00:03 at-spi2-registr
   1173 ?        00:00:00 gpg-agent
   1175 ?        00:00:31 xfwm4
   1178 ?        00:00:00 gvfsd
   1198 ?        00:00:04 xfsettingsd
   1203 ?        00:00:00 upowerd
   1215 ?        00:00:09 xfce4-panel
   1219 ?        00:00:01 Thunar
   1224 ?        00:00:02 xfdesktop
   1227 ?        00:00:01 xfce4-power-man
   1228 ?        00:00:00 xterm
   1232 ?        00:00:00 applet.py
   1234 ?        00:01:35 vmtoolsd
   1241 ?        00:00:01 nm-applet
   1245 ?        00:00:01 xfce4-notifyd
   1251 ?        00:00:01 light-locker
   1264 ?        00:00:01 polkit-gnome-au
   1265 ?        00:00:00 xiccd
   1289 ?        00:00:00 colord
   1301 pts/0    00:00:00 bash
   1312 ?        00:00:00 dconf-service
   1521 ?        00:00:00 gvfs-udisks2-vo
   1670 ?        00:00:01 panel-6-systray
   1671 ?        00:01:07 panel-8-pulseau
   1672 ?        00:00:01 panel-9-power-m
   1673 ?        00:00:01 panel-10-notifi
   2034 ?        00:00:04 kworker/0:0-events
   2768 ?        00:00:04 xfce4-appfinder
   8496 ?        00:00:00 cupsd
   8499 ?        00:00:00 cups-browsed
